province,city,lat,lon
四川省,宜宾市,28.8,104.6
四川省,广安市,30.5,106.6
四川省,达州市,31.2,107.5
四川省,雅安市,30.0,103.0
四川省,巴中市,31.9,106.8
四川省,资阳市,30.1,104.6
四川省,阿坝藏族羌族自治州,32.9,101.7
四川省,甘孜藏族自治州,30.1,102.0
四川省,凉山彝族自治州,27.9,102.3
贵州省,贵阳市,26.7,106.6
贵州省,六盘水市,26.6,104.8
贵州省,遵义市,27.7,106.9
贵州省,安顺市,26.3,106.0
贵州省,毕节市,27.3,105.3
贵州省,铜仁市,27.7,109.2
贵州省,黔西南布依族苗族自治州,27.0,106.0
贵州省,黔东南苗族侗族自治州,26.6,108.0
贵州省,黔南布依族苗族自治州,26.3,107.5
云南省,昆明市,24.9,102.9
云南省,曲靖市,25.5,103.8
云南省,玉溪市,24.4,102.6
云南省,保山市,25.1,99.2
云南省,昭通市,27.3,103.7
云南省,丽江市,26.9,100.2
云南省,普洱市,22.8,101.0
云南省,临沧市,23.9,100.1
云南省,楚雄彝族自治州,25.1,101.5
云南省,红河哈尼族彝族自治州,23.4,102.4
云南省,文山壮族苗族自治州,23.4,104.2
云南省,西双版纳傣族自治州,22.0,100.8
云南省,大理白族自治州,25.6,100.2
云南省,德宏傣族景颇族自治州,24.4,98.6
云南省,怒江傈僳族自治州,25.8,98.9
云南省,迪庆藏族自治州,27.8,99.7
西藏自治区,拉萨市,29.7,91.1
西藏自治区,日喀则市,29.3,88.9
西藏自治区,昌都市,31.1,97.2
西藏自治区,林芝市,29.7,94.4
西藏自治区,山南市,29.2,91.8
西藏自治区,那曲市,31.5,92.1
西藏自治区,阿里地区,32.5,80.1
陕西省,西安市,34.3,108.9
陕西省,铜川市,34.9,109.0
陕西省,宝鸡市,34.4,107.2
陕西省,咸阳市,34.3,108.7
陕西省,渭南市,34.5,109.5
陕西省,延安市,36.6,109.5
陕西省,汉中市,33.1,107.0
陕西省,榆林市,38.3,109.7
陕西省,安康市,32.7,109.0
陕西省,商洛市,33.9,109.9
甘肃省,兰州市,36.1,103.8
甘肃省,嘉峪关市,39.8,98.3
甘肃省,金昌市,38.5,102.2
甘肃省,白银市,36.6,104.1
甘肃省,天水市,34.6,105.7
甘肃省,武威市,37.9,102.6
甘肃省,张掖市,38.9,100.5
甘肃省,平凉市,35.5,106.7
甘肃省,酒泉市,39.7,98.5
甘肃省,庆阳市,35.7,107.6
甘肃省,定西市,35.6,104.6
甘肃省,陇南市,33.4,104.9
甘肃省,临夏回族自治州,35.6,103.2
甘肃省,甘南藏族自治州,35.0,102.9
青海省,西宁市,36.6,101.8
青海省,海东市,36.5,102.1
青海省,海北藏族自治州,37.0,100.9
青海省,黄南藏族自治州,35.5,102.0
青海省,海南藏族自治州,36.3,100.6
青海省,果洛藏族自治州,34.5,100.3
青海省,玉树藏族自治州,33.0,97.0
青海省,海西蒙古族藏族自治州,37.4,97.4
宁夏回族自治区,银川市,38.5,106.2
宁夏回族自治区,石嘴山市,39.0,106.4
宁夏回族自治区,吴忠市,38.0,106.2
宁夏回族自治区,固原市,36.0,106.2
宁夏回族自治区,中卫市,37.5,105.2
新疆维吾尔自治区,乌鲁木齐市,43.8,87.6
新疆维吾尔自治区,克拉玛依市,45.6,84.9
新疆维吾尔自治区,吐鲁番市,43.0,89.2
新疆维吾尔自治区,哈密市,42.8,93.5
新疆维吾尔自治区,昌吉回族自治州,44.0,87.3
新疆维吾尔自治区,博尔塔拉蒙古自治州,44.9,82.1
新疆维吾尔自治区,巴音郭楞蒙古自治州,41.8,86.2
新疆维吾尔自治区,阿克苏地区,41.2,80.3
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,39.7,76.2
新疆维吾尔自治区,喀什地区,39.5,76.0
新疆维吾尔自治区,和田地区,37.1,79.9
新疆维吾尔自治区,伊犁哈萨克自治州,43.9,81.3
新疆维吾尔自治区,塔城地区,46.8,83.0
新疆维吾尔自治区,阿勒泰地区,47.9,88.1
