city,province,lat,lon
山南市,西藏自治区,29.2,91.8
日喀则市,西藏自治区,29.3,88.9
那曲地区市,西藏自治区,,
那曲市,西藏自治区,31.5,92.1
阿里地区市,西藏自治区,,
林芝市,西藏自治区,29.7,94.4
汉中市,陕西省,33.1,107.0
榆林市,陕西省,38.3,109.7
安康市,陕西省,32.7,109.0
商洛市,陕西省,33.9,109.9
白银市,甘肃省,36.6,104.1
天水市,甘肃省,34.6,105.7
武威市,甘肃省,37.9,102.6
张掖市,甘肃省,38.9,100.5
平凉市,甘肃省,35.5,106.7
酒泉市,甘肃省,39.7,98.5
庆阳市,甘肃省,35.7,107.6
定西市,甘肃省,35.6,104.6
陇南市,甘肃省,33.4,104.9
临夏回族自治州市,宁夏回族自治区,,
甘南州市,宁夏回族自治区,,
海东地区市,宁夏回族自治区,,
海北藏族自治州市,宁夏回族自治区,,
黄南藏族自治州市,宁夏回族自治区,,
海南藏族自治州市,宁夏回族自治区,,
果洛藏族自治州市,宁夏回族自治区,,
玉树藏族自治州市,宁夏回族自治区,,
海西蒙古族藏族自治州市,宁夏回族自治区,,
吴忠市,宁夏回族自治区,38.0,106.2
中卫市,宁夏回族自治区,37.5,105.2
固原市,宁夏回族自治区,36.0,106.2
吐鲁番地区市,新疆维吾尔自治区,,
哈密地区市,新疆维吾尔自治区,,
昌吉州市,新疆维吾尔自治区,,
博尔塔拉蒙古自治州市,新疆维吾尔自治区,,
阿克苏地区市,新疆维吾尔自治区,,
克孜勒苏柯尔克孜自治州市,新疆维吾尔自治区,,
喀什地区市,新疆维吾尔自治区,,
和田地区市,新疆维吾尔自治区,,
伊犁哈萨克州市,新疆维吾尔自治区,,
塔城地区市,新疆维吾尔自治区,,
阿勒泰地区市,新疆维吾尔自治区,,
石河子市,新疆维吾尔自治区,,
五家渠市,新疆维吾尔自治区,,
三沙市,海南省,30.3,112.3
兰州新区市,,,
赣江新区市,,,
儋州市,海南省,19.6,109.2
雄安新区市,北京市,,
西咸新区市,,,
